row,reason,sku	productName	warehouseName	categoryName	quantity	unit	purchasePrice	sellingPrice	description
86,Missing SKU,Baby86	Car86	warehouse86	category86	86	pcs	9990	10101	description86
87,Missing SKU,Baby87	Car87	warehouse87	category87	87	pcs	10101	10212	description87
88,Missing SKU,Baby88	Car88	warehouse88	category88	88	pcs	10212	10323	description88
89,Missing SKU,Baby89	Car89	warehouse89	category89	89	pcs	10323	10434	description89
90,Missing SKU,Baby90	Car90	warehouse90	category90	90	pcs	10434	10545	description90
91,Missing SKU,Baby91	Car91	warehouse91	category91	91	pcs	10545	10656	description91
92,Missing SKU,Baby92	Car92	warehouse92	category92	92	pcs	10656	10767	description92
93,Missing SKU,Baby93	Car93	warehouse93	category93	93	pcs	10767	10878	description93
94,Missing SKU,Baby94	Car94	warehouse94	category94	94	pcs	10878	10989	description94
95,Missing SKU,Baby95	Car95	warehouse95	category95	95	pcs	10989	11100	description95
96,Missing SKU,Baby96	Car96	warehouse96	category96	96	pcs	11100	11211	description96
97,Missing SKU,Baby97	Car97	warehouse97	category97	97	pcs	11211	11322	description97
98,Missing SKU,Baby98	Car98	warehouse98	category98	98	pcs	11322	11433	description98
99,Missing SKU,Baby99	Car99	warehouse99	category99	99	pcs	11433	11544	description99
100,Missing SKU,Baby100	Car100	warehouse100	category100	100	pcs	11544	11655	description100
